"","condition","label","id","total_degree","in_degree","out_degree","total_closeness_lcc","scaled","Length","LgSUBTLWF","Concreteness_Rating","Semantic_Neighborhood_Density","Age_Of_Acquisition","BG_Sum"
"1","A1_B1","modesty",10044,44,3,41,3.53816977553851e-06,0.375965087135644,7,1.96,2.23,0.44,10.89,12856
"2","A1_B1","broker",8282,43,9,34,3.59526000920387e-06,0.416125563943692,6,2.27,4.03,0.56,10.94,10007
"3","A1_B1","olive",6947,47,19,28,3.59203143745914e-06,0.413854405247142,5,2.58,4.9,0.58,6.68,6820
"4","A1_B1","gifted",4015,48,15,33,3.61417914763199e-06,0.429434348499114,6,2.36,1.85,0.58,7.94,10121
"5","A1_B1","pigeon",4740,48,14,34,3.59968610737144e-06,0.419239129984616,6,2.48,4.71,0.55,6.21,7698
"6","A1_B1","depend",153,42,10,32,3.55008999478137e-06,0.384350438844936,6,2.7,1.89,0.6,8.5,10516
"7","A1_B1","proposal",3920,42,13,29,3.58699356134656e-06,0.410310480239457,8,2.65,2.75,0.64,11.05,9958
"8","A1_B1","vessel",1377,48,17,31,3.61539434913863e-06,0.430289189490144,6,2.68,4.66,0.62,9.94,11736
"9","A1_B1","boost",6068,45,8,37,3.60836274148968e-06,0.425342761742721,5,2.36,2.89,0.59,7.89,6100
"10","A1_B1","confined",10069,47,10,37,3.58239325363702e-06,0.407074365422315,8,2.18,3.14,0.6,9.71,21870
"11","A1_B2","poised",10367,42,3,39,3.65918363613078e-06,0.461093033366443,6,1.81,2.21,0.43,11.33,10700
"12","A1_B2","mutant",9376,42,2,40,3.63046248461592e-06,0.440888962280059,6,2.27,4.2,0.57,10,9676
"13","A1_B2","bloom",5978,47,16,31,3.64466020832878e-06,0.450876438548587,5,2.45,4,0.57,6.84,4792
"14","A1_B2","delayed",8253,41,9,32,3.61736915975749e-06,0.431678382193818,7,2.44,2.08,0.61,8.78,11444
"15","A1_B2","orphan",8190,48,13,35,3.64314651278016e-06,0.449811620083644,6,2.47,4.04,0.56,6.94,8202
"16","A1_B2","liberty",3188,47,20,27,3.62594727872657e-06,0.437712712862941,7,2.93,1.85,0.64,8.83,11867
"17","A1_B2","surgical",9910,46,5,41,3.64152798514257e-06,0.44867305683947,8,2.61,2.89,0.58,10.61,10257
"18","A1_B2","gallery",2421,40,9,31,3.62613135298213e-06,0.437842201032753,7,2.64,4.44,0.64,8.68,15507
"19","A1_B2","cosmic",8894,40,3,37,3.62951375404237e-06,0.440221571909593,6,2.27,2.76,0.58,9.22,7508
"20","A1_B2","breeding",10646,43,6,37,3.61708130475357e-06,0.431475888816809,8,2.27,2.96,0.6,9.3,23163
"21","A2_B1","harass",5866,51,18,33,3.60771184483953e-06,0.424884884481684,6,1.84,2.67,0.43,10.84,10243
"22","A2_B1","currency",2947,57,30,27,3.55838961519575e-06,0.390188857988936,8,2.27,4.25,0.6,9.21,12521
"23","A2_B1","dive",5867,60,27,33,3.57744634724841e-06,0.403594433627742,4,2.82,4.03,0.57,7.21,4651
"24","A2_B1","heroic",8031,49,14,35,3.58363853988231e-06,0.407950369708205,6,2.37,1.85,0.58,8.2,12696
"25","A2_B1","sewer",5338,59,20,39,3.60464277990051e-06,0.422725931830898,5,2.38,4.46,0.54,7.05,8986
"26","A2_B1","demand",3090,57,26,31,3.5685737124586e-06,0.397352923988969,6,2.94,2.2,0.66,7.83,10537
"27","A2_B1","publicity",8529,49,11,38,3.54619989219552e-06,0.381613922200154,9,2.73,2.74,0.61,10.9,10858
"28","A2_B1","banner",6831,50,10,40,3.59176050140977e-06,0.413663813613008,6,2.48,4.8,0.61,9.17,13063
"29","A2_B1","publish",5728,49,9,40,3.56620662601191e-06,0.395687782435997,7,2.42,3.26,0.6,9,8755
"30","A2_B1","editing",11028,53,3,50,3.59641078203952e-06,0.416935082188944,7,2.04,3.17,0.6,10.21,24130
"31","A2_B2","anguish",8089,59,21,38,3.64374387395561e-06,0.450231837484986,7,2.05,2.38,0.43,11.54,12269
"32","A2_B2","pageant",9110,50,3,47,3.68101772778138e-06,0.476452359735617,7,2.39,4,0.56,10,11409
"33","A2_B2","mole",5688,65,24,41,3.64908900492992e-06,0.453991902819241,4,2.62,4.41,0.55,7.33,5678
"34","A2_B2","madness",6450,59,27,32,3.65302141401153e-06,0.45675818022927,7,2.64,1.97,0.57,9.42,11130
"35","A2_B2","click",3384,63,28,35,3.65116746079559e-06,0.455454005410712,5,2.52,4.03,0.56,6.94,6561
"36","A2_B2","sacred",5452,52,16,36,3.66278899405163e-06,0.46362924462131,6,2.86,1.77,0.62,8.53,12023
"37","A2_B2","compound",5430,54,10,44,3.68139716385163e-06,0.476719276378289,8,2.56,3.03,0.61,11.26,10936
"38","A2_B2","laser",4873,50,18,32,3.64253607931987e-06,0.449382206902948,5,2.64,4.5,0.61,8.67,11664
"39","A2_B2","adjust",3722,54,22,32,3.63187332025859e-06,0.441881423310079,6,2.46,2.93,0.56,8.43,6300
"40","A2_B2","donation",2343,49,21,28,3.67607865337887e-06,0.472977937399953,8,2.26,3.32,0.57,9.33,22693
